Year,State,Continuum of Care (CoC),HUD CoC Number,"2018 CoC Award Amount
($0 indicates that an application was not submitted)",AHAR Part 1 CoC Category,Total Non-DV Beds on 2018 HIC ES+TH,Total Non-DV HMIS Beds on 2018 HIC ES+TH,2018 Bed coverage Percent on HMIS for ES-TH Combined,ES-SH Avg (Days),ES-SH Median (Days),ES-SH-TH Avg (Days),ES-SH-TH Median (Days),Total Persons Exited (SO),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (ES),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (TH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (SH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (PH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (SO+ES+TH+SH+PH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total HMIS Count,Total Stayers (persons),Total Stayers increased earned income,Percent Stayers increased earned income,Total Stayers increased non-employment cash income,Percent Stayers increased non-employment cash income,Total Stayers increased total income,Percent Stayers increased total income,Total Leavers (persons),Total Leavers increased earned income,Percent Leavers increased earned income,Total Leavers increased non-employment cash income,Percent Leavers increased non-employment cash income,Total Leavers increased total income,Percent Leavers increased total income,ES-SH-TH 1st Time Homeless,ES-SH-TH-PH 1st Time Homeless,Total Persons Exiting Street Outreach (SO),Total Persons Exited SO to Temporary Destinations,Total Persons Exited SO to Permanent Destinations,Percent with Successful SO Outcome,"Total Persons Exiting ES, TH, SH, PH-RRH","Total Persons Exiting ES, TH, SH, PH-RRH to Permanent Housing","Percent with Successful  ES, TH, SH, PH-RRH Exit",Total Persons Exiting PH or Remaining in PH at end of reporting period (measure excludes PH-RRH),Total Persons Exited PH to permanent destinations or Remained in PH for 6+ mos (measure excludes PH-RRH),Percent with Successful PH Retention or Exit
2019,AR,Fayetteville/Northwest Arkansas CoC,AR-501,348954,Other Largely Urban CoC,156,127,0.814102564,43,21,123,32,0,0,0,0,NA,NA,NA,71,8,9,13,0.112676056,0.126760563,0.183098592,40,1,1,1,0.025,0.025,0.025,0,0,0,0,NA,NA,NA,57,0,0,0,0,0,0,168,9,10,14,0.053571429,0.05952381,0.083333333,439,29,4,0.137931034,15,0.517241379,15,0.517241379,9,0,0,3,0.333333333,3,0.333333333,421,437,15,0,0,0,314,70,0.222929936,51,45,0.882352941
2019,AR,Arkansas  Balance of State  CoC,AR-503,588711,Largely Rural CoC,350,237,0.677142857,52,17,67,21,0,0,0,0,NA,NA,NA,179,16,29,39,0.089385475,0.162011173,0.217877095,34,1,1,4,0.029411765,0.029411765,0.117647059,0,0,0,0,NA,NA,NA,24,0,0,0,0,0,0,237,17,30,43,0.071729958,0.126582278,0.181434599,911,11,0,0,3,0.272727273,3,0.272727273,42,29,0.69047619,0,0,29,0.69047619,699,898,0,0,0,NA,691,261,0.377713459,4,4,1
2019,AR,Southeast Arkansas CoC,AR-505,230195,Largely Rural CoC,95,0,0,51,24,59,35,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,69,1,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,51,51,76,13,18,0.407894737,42,14,0.333333333,0,0,NA
2019,AR,Fort Smith CoC,AR-508,0,Largely Rural CoC,198,0,0,69,19,83,20,0,0,0,0,NA,NA,NA,53,3,4,12,0.056603774,0.075471698,0.226415094,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,53,3,4,12,0.056603774,0.075471698,0.226415094,1041,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,898,898,0,0,0,NA,851,91,0.10693302,0,0,NA
2019,AZ,Arizona Balance of State CoC,AZ-500,4441226,Largely Rural CoC,712,621,0.872191011,52,21,65,25,94,11,23,32,0.117021277,0.244680851,0.340425532,748,87,121,163,0.11631016,0.161764706,0.217914439,235,26,36,47,0.110638298,0.153191489,0.2,0,0,0,0,NA,NA,NA,1130,52,77,141,0.046017699,0.068141593,0.124778761,2207,176,257,383,0.079746262,0.116447667,0.17353874,4162,245,16,0.065306122,52,0.212244898,57,0.232653061,287,43,0.149825784,45,0.156794425,81,0.282229965,2673,4310,1601,242,142,0.239850094,4676,1892,0.404619333,1059,1016,0.959395656
2019,AZ,Tucson/Pima County CoC,AZ-501,8497232,Major City CoC,1117,1117,1,62,33,98,45,114,22,35,42,0.192982456,0.307017544,0.368421053,1316,189,317,421,0.143617021,0.240881459,0.319908815,241,15,27,46,0.062240664,0.112033195,0.190871369,15,1,2,4,0.066666667,0.133333333,0.266666667,849,61,105,176,0.071849234,0.123674912,0.207302709,2535,288,486,689,0.113609467,0.191715976,0.271794872,3943,474,25,0.052742616,70,0.147679325,87,0.183544304,409,77,0.188264059,59,0.144254279,128,0.312958435,2434,2966,1253,102,296,0.31763767,3982,2088,0.524359618,849,798,0.939929329
2019,AZ,"Phoenix, Mesa/Maricopa County CoC",AZ-502,28412341,Major City CoC,3448,2911,0.844257541,68,46,95,57,510,118,157,204,0.231372549,0.307843137,0.4,2297,299,499,750,0.130169787,0.217239878,0.326512843,1107,74,129,205,0.066847335,0.116531165,0.185185185,2,0,0,0,0,0,0,1815,219,348,470,0.120661157,0.191735537,0.258953168,5731,710,1133,1629,0.123887629,0.197696737,0.284243588,13746,2059,172,0.083535697,937,0.455075279,1025,0.497814473,953,171,0.179433368,222,0.232948583,375,0.393494229,8535,9635,6917,1879,564,0.353187798,10734,4513,0.420439724,6466,6000,0.927930715
2019,CA,San Jose/Santa Clara City & County CoC,CA-500,29506119,Major City CoC,1687,1687,1,70,35,110,53,13,3,4,6,0.230769231,0.307692308,0.461538462,740,100,179,240,0.135135135,0.241891892,0.324324324,544,44,60,103,0.080882353,0.110294118,0.189338235,5,1,2,2,0.2,0.4,0.4,1164,49,96,150,0.04209622,0.082474227,0.128865979,2466,197,341,501,0.079886456,0.138280616,0.203163017,6149,534,43,0.080524345,127,0.237827715,158,0.29588015,563,116,0.206039076,55,0.097690941,162,0.287744227,3792,4954,981,263,234,0.506625892,5791,1711,0.29545847,2202,2166,0.983651226
2019,CA,San Francisco CoC,CA-501,47849533,Major City CoC,3248,1874,0.576970443,146,92,182,112,11,1,2,3,0.090909091,0.181818182,0.272727273,219,32,44,53,0.146118721,0.200913242,0.242009132,100,3,5,8,0.03,0.05,0.08,0,0,0,0,NA,NA,NA,650,2,13,34,0.003076923,0.02,0.052307692,980,38,64,98,0.03877551,0.065306122,0.1,8362,2044,81,0.03962818,490,0.239726027,554,0.271037182,335,37,0.110447761,132,0.394029851,157,0.468656716,1635,2977,1409,11,34,0.031937544,1245,765,0.614457831,6848,6589,0.962178738
2019,CA,"Oakland, Berkeley/Alameda County CoC",CA-502,36369614,Major City CoC,1559,1380,0.885182809,152,111,196,142,54,0,0,2,0,0,0.037037037,472,69,99,139,0.146186441,0.209745763,0.294491525,353,21,41,71,0.059490085,0.116147309,0.201133144,0,0,0,0,NA,NA,NA,895,49,62,100,0.054748603,0.069273743,0.111731844,1774,139,202,312,0.078354002,0.113866967,0.175873732,4034,1737,81,0.046632124,333,0.191709845,390,0.224525043,849,126,0.148409894,137,0.161366313,238,0.2803298,2553,3622,741,124,104,0.307692308,2496,1344,0.538461538,2766,2694,0.973969631
2019,CA,Sacramento City & County CoC,CA-503,23349292,Major City CoC,1528,1349,0.882853403,99,46,144,78,567,61,102,151,0.107583774,0.17989418,0.266313933,823,88,124,208,0.106925881,0.150668287,0.2527339,420,26,43,70,0.061904762,0.102380952,0.166666667,0,0,0,0,NA,NA,NA,1272,57,104,200,0.044811321,0.081761006,0.157232704,3082,232,373,629,0.075275795,0.121025308,0.204088254,4372,1256,45,0.035828025,505,0.402070064,532,0.423566879,259,32,0.123552124,101,0.38996139,127,0.49034749,2357,5206,3693,280,841,0.303547252,5110,2136,0.418003914,2888,2813,0.974030471
2019,CA,"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,3976410,Largely Suburban CoC,946,809,0.855179704,122,80,139,93,0,0,0,0,NA,NA,NA,536,84,115,157,0.156716418,0.214552239,0.292910448,110,9,23,27,0.081818182,0.209090909,0.245454545,0,0,0,0,NA,NA,NA,412,7,19,31,0.016990291,0.046116505,0.075242718,1058,100,157,215,0.094517958,0.148393195,0.203213611,2332,174,34,0.195402299,60,0.344827586,82,0.471264368,117,40,0.341880342,27,0.230769231,56,0.478632479,1094,1675,3,1,2,1,2651,1229,0.463598642,672,639,0.950892857
2019,CA,Richmond/Contra Costa County CoC,CA-505,15239701,Largely Suburban CoC,614,614,1,78,35,100,46,2,0,0,0,0,0,0,505,78,109,141,0.154455446,0.215841584,0.279207921,72,2,5,6,0.027777778,0.069444444,0.083333333,0,0,0,0,NA,NA,NA,725,24,36,70,0.033103448,0.049655172,0.096551724,1304,104,150,217,0.079754601,0.115030675,0.166411043,3178,555,55,0.099099099,294,0.52972973,321,0.578378378,91,32,0.351648352,38,0.417582418,55,0.604395604,2300,2932,3154,868,12,0.27901078,2910,822,0.282474227,898,883,0.983296214
2019,CA,"Salinas/Monterey, San Benito Counties CoC",CA-506,1798544,Largely Rural CoC,787,595,0.756035578,76,48,178,92,19,2,3,4,0.105263158,0.157894737,0.210526316,192,19,24,36,0.098958333,0.125,0.1875,246,4,11,15,0.016260163,0.044715447,0.06097561,0,0,0,0,NA,NA,NA,131,7,9,16,0.053435115,0.06870229,0.122137405,588,32,47,71,0.054421769,0.079931973,0.120748299,1704,91,14,0.153846154,27,0.296703297,34,0.373626374,132,19,0.143939394,28,0.212121212,41,0.310606061,940,1123,85,13,9,0.258823529,1418,506,0.356840621,76,69,0.907894737
2019,CA,Marin County CoC,CA-507,4600616,Largely Suburban CoC,323,323,1,122,80,254,112,0,0,0,0,NA,NA,NA,187,11,24,42,0.058823529,0.128342246,0.22459893,28,0,1,1,0,0.035714286,0.035714286,0,0,0,0,NA,NA,NA,441,8,16,31,0.01814059,0.036281179,0.070294785,656,19,41,74,0.028963415,0.0625,0.112804878,692,24,0,0,3,0.125,3,0.125,3,1,0.333333333,2,0.666666667,3,1,324,543,0,0,0,NA,665,199,0.29924812,525,507,0.965714286
2019,CA,Watsonville/Santa Cruz City & County CoC,CA-508,3662605,Largely Suburban CoC,443,362,0.817155756,116,64,156,77,0,0,0,0,NA,NA,NA,159,14,25,36,0.088050314,0.157232704,0.226415094,92,3,9,14,0.032608696,0.097826087,0.152173913,0,0,0,0,NA,NA,NA,219,5,16,28,0.02283105,0.073059361,0.127853881,470,22,50,78,0.046808511,0.106382979,0.165957447,1699,155,2,0.012903226,39,0.251612903,40,0.258064516,112,10,0.089285714,18,0.160714286,21,0.1875,1127,1465,233,55,14,0.296137339,1174,335,0.285349233,152,145,0.953947368
2019,CA,Mendocino County CoC,CA-509,1634537,Largely Rural CoC,275,88,0.32,48,19,78,28,0,0,0,0,NA,NA,NA,3,2,2,2,0.666666667,0.666666667,0.666666667,17,0,2,3,0,0.117647059,0.176470588,0,0,0,0,NA,NA,NA,14,0,0,0,0,0,0,34,2,4,5,0.058823529,0.117647059,0.147058824,327,108,6,0.055555556,35,0.324074074,40,0.37037037,39,0,0,12,0.307692308,12,0.307692308,221,323,0,0,0,NA,344,76,0.220930233,225,217,0.964444444
2019,CA,"Turlock, Modesto/Stanislaus County CoC",CA-510,3384296,Largely Suburban CoC,799,747,0.934918648,42,16,59,16,4,0,0,1,0,0,0.25,1109,149,201,329,0.134355275,0.181244364,0.296663661,93,12,16,18,0.129032258,0.172043011,0.193548387,0,0,0,0,NA,NA,NA,175,5,9,11,0.028571429,0.051428571,0.062857143,1381,166,226,359,0.120202752,0.163649529,0.259956553,5536,228,19,0.083333333,89,0.390350877,102,0.447368421,238,24,0.100840336,37,0.155462185,59,0.24789916,3442,3571,156,34,31,0.416666667,4937,898,0.181891837,422,416,0.985781991
2019,CA,Stockton/San Joaquin County CoC,CA-511,5207322,Other Largely Urban CoC,1162,1086,0.934595525,40,16,51,16,3,1,1,3,0.333333333,0.333333333,1,646,138,201,253,0.213622291,0.311145511,0.391640867,100,16,20,26,0.16,0.2,0.26,0,0,0,0,NA,NA,NA,439,31,67,82,0.070615034,0.15261959,0.186788155,1188,186,289,364,0.156565657,0.243265993,0.306397306,8880,294,14,0.047619048,167,0.568027211,171,0.581632653,202,54,0.267326733,62,0.306930693,90,0.445544554,5221,5524,1294,5,0,0.003863988,7888,733,0.092925963,712,642,0.901685393
2019,CA,Daly/San Mateo County CoC,CA-512,12625516,Largely Suburban CoC,633,633,1,61,23,107,69,63,7,12,13,0.111111111,0.19047619,0.206349206,142,34,38,44,0.23943662,0.267605634,0.309859155,740,69,116,155,0.093243243,0.156756757,0.209459459,0,0,0,0,NA,NA,NA,237,10,19,26,0.042194093,0.080168776,0.109704641,1182,120,185,238,0.101522843,0.156514382,0.201353638,2666,309,19,0.061488673,114,0.368932039,118,0.381877023,559,81,0.14490161,49,0.08765653,123,0.220035778,1640,1788,104,4,28,0.307692308,1848,770,0.416666667,742,730,0.983827493
2019,CA,"Visalia/Kings, Tulare Counties CoC",CA-513,2474301,Other Largely Urban CoC,293,293,1,65,23,112,36,65,9,13,20,0.138461538,0.2,0.307692308,322,74,86,100,0.229813665,0.267080745,0.310559006,88,6,14,19,0.068181818,0.159090909,0.215909091,0,0,0,0,NA,NA,NA,295,3,8,22,0.010169492,0.027118644,0.074576271,770,92,121,161,0.119480519,0.157142857,0.209090909,1311,73,5,0.068493151,19,0.260273973,21,0.287671233,51,5,0.098039216,8,0.156862745,13,0.254901961,895,1488,496,136,115,0.506048387,1563,637,0.407549584,250,233,0.932
2019,CA,Fresno City & County/Madera County CoC,CA-514,10662668,Major City CoC,364,171,0.46978022,44,19,62,24,43,0,0,4,0,0,0.093023256,411,33,55,70,0.080291971,0.133819951,0.170316302,137,4,9,15,0.02919708,0.065693431,0.109489051,49,4,8,11,0.081632653,0.163265306,0.224489796,366,16,21,33,0.043715847,0.057377049,0.090163934,1006,57,93,133,0.05666004,0.092445328,0.132206759,1138,299,14,0.046822742,122,0.408026756,132,0.441471572,195,12,0.061538462,56,0.287179487,65,0.333333333,930,1215,543,59,111,0.313075506,1018,574,0.563850688,711,663,0.932489451
2019,CA,"Roseville, Rocklin/Placer County CoC",CA-515,1142431,Largely Suburban CoC,341,322,0.944281525,176,83,195,96,3,0,0,0,0,0,0,150,38,50,62,0.253333333,0.333333333,0.413333333,7,0,0,2,0,0,0.285714286,0,0,0,0,NA,NA,NA,187,2,5,11,0.010695187,0.026737968,0.058823529,347,40,55,75,0.115273775,0.158501441,0.216138329,846,81,7,0.086419753,41,0.50617284,44,0.543209877,12,2,0.166666667,7,0.583333333,9,0.75,388,651,26,9,3,0.461538462,449,222,0.494432071,122,119,0.975409836
2019,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,365267,Largely Rural CoC,715,0,0,1,1,187,109,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,100,0,1,2,0,0.01,0.02,109,0,1,2,0,0.009174312,0.018348624,121,6,0,0,0,0,0,0,2,1,0.5,0,0,1,0.5,90,419,4,0,0,0,470,283,0.60212766,13,12,0.923076923
2019,CA,Napa City & County CoC,CA-517,775531,Other Largely Urban CoC,151,139,0.920529801,109,74,168,95,220,18,30,50,0.081818182,0.136363636,0.227272727,121,24,31,38,0.198347107,0.256198347,0.314049587,33,0,0,3,0,0,0.090909091,0,0,0,0,NA,NA,NA,106,5,8,12,0.047169811,0.075471698,0.113207547,480,47,69,103,0.097916667,0.14375,0.214583333,493,23,2,0.086956522,6,0.260869565,8,0.347826087,21,2,0.095238095,6,0.285714286,6,0.285714286,212,315,414,60,142,0.487922705,432,137,0.31712963,48,46,0.958333333
2019,CA,Vallejo/Solano County CoC,CA-518,1486257,Other Largely Urban CoC,339,219,0.646017699,1175,1055,204,12,0,0,0,0,NA,NA,NA,18,0,1,2,0,0.055555556,0.111111111,12,0,0,2,0,0,0.166666667,0,0,0,0,NA,NA,NA,309,12,17,23,0.038834951,0.055016181,0.074433657,339,12,18,27,0.03539823,0.053097345,0.079646018,148,35,0,0,5,0.142857143,5,0.142857143,33,2,0.060606061,6,0.181818182,7,0.212121212,110,357,0,0,0,NA,282,157,0.556737589,81,78,0.962962963
2019,CA,"Chico, Paradise/Butte County CoC",CA-519,611447,Largely Rural CoC,471,376,0.798301486,77,36,119,50,9,0,0,0,0,0,0,315,95,123,144,0.301587302,0.39047619,0.457142857,61,2,4,6,0.032786885,0.06557377,0.098360656,0,0,0,0,NA,NA,NA,53,0,1,1,0,0.018867925,0.018867925,438,97,128,151,0.221461187,0.292237443,0.344748858,1169,21,2,0.095238095,7,0.333333333,9,0.428571429,37,8,0.216216216,6,0.162162162,14,0.378378378,681,1010,30,5,5,0.333333333,1195,335,0.280334728,405,371,0.916049383
2019,CA,Merced City & County CoC,CA-520,774302,Largely Suburban CoC,348,225,0.646551724,54,26,54,26,0,0,0,0,NA,NA,NA,5,3,3,3,0.6,0.6,0.6,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,26,0,0,1,0,0,0.038461538,31,3,3,4,0.096774194,0.096774194,0.129032258,360,62,2,0.032258065,2,0.032258065,2,0.032258065,81,1,0.012345679,7,0.086419753,8,0.098765432,227,330,811,284,111,0.487053021,464,109,0.234913793,30,30,1
